player_ranking,tourney_year,tourney_name,tourney_location,tourney_dates,tourney_conditions,tourney_surface,opponent_name,match_win_loss,match_score
396,1998,Basel,"Basel, Switzerland",1998.10.05 - 1998.10.11,Indoor,Hard,Andre Agassi,L,36 26
878,1998,Toulouse,"Toulouse, France",1998.09.28 - 1998.10.04,Indoor,Hard,Jan Siemerink,L,67(5) 26
878,1998,Toulouse,"Toulouse, France",1998.09.28 - 1998.10.04,Indoor,Hard,Richard Fromberg,W,61 76(5) 
878,1998,Toulouse,"Toulouse, France",1998.09.28 - 1998.10.04,Indoor,Hard,Guillaume Raoux,W,62 62
680,1998,Geneva,"Geneva, Switzerland",1998.08.24 - 1998.08.30,Outdoor,Clay,Orlin Stanoytchev,L,46 67
702,1998,Gstaad,"Gstaad, Switzerland",1998.07.06 - 1998.07.12,Outdoor,Clay,Lucas Arnold Ker,L,46 46
66,1999,Brest,"Brest, France",1999.10.25 - 1999.10.31,Indoor,Hard,Max Mirnyi,W,76(4) 63
66,1999,Brest,"Brest, France",1999.10.25 - 1999.10.31,Indoor,Hard,Martin Damm,W,63 76(4) 
66,1999,Brest,"Brest, France",1999.10.25 - 1999.10.31,Indoor,Hard,Michael Llodra,W,63 63
66,1999,Brest,"Brest, France",1999.10.25 - 1999.10.31,Indoor,Hard,Rodolphe Gilbert,W,64 63
66,1999,Brest,"Brest, France",1999.10.25 - 1999.10.31,Indoor,Hard,Lionel Roux,W,63 46 64
67,1999,Lyon,"Lyon, France",1999.10.18 - 1999.10.24,Indoor,Carpet,Lleyton Hewitt,L,67(4) 62 46
67,1999,Lyon,"Lyon, France",1999.10.18 - 1999.10.24,Indoor,Carpet,Daniel Vacek,W,63 64
93,1999,Vienna,"Vienna, Austria",1999.10.11 - 1999.10.17,Indoor,Hard,Greg Rusedski,L,36 46
93,1999,Vienna,"Vienna, Austria",1999.10.11 - 1999.10.17,Indoor,Hard,Karol Kucera,W,26 64 61
93,1999,Vienna,"Vienna, Austria",1999.10.11 - 1999.10.17,Indoor,Hard,Jiri Novak,W,76(8) 61
93,1999,Vienna,"Vienna, Austria",1999.10.11 - 1999.10.17,Indoor,Hard,Vincent Spadea,W,64 62
106,1999,Basel,"Basel, Switzerland",1999.10.04 - 1999.10.10,Indoor,Carpet,Tim Henman,L,36 57
106,1999,Basel,"Basel, Switzerland",1999.10.04 - 1999.10.10,Indoor,Carpet,Alexander Popp,W,62 75
106,1999,Basel,"Basel, Switzerland",1999.10.04 - 1999.10.10,Indoor,Carpet,Martin Damm,W,62 36 64
96,1999,Toulouse,"Toulouse, France",1999.09.27 - 1999.10.03,Indoor,Hard,Fabrice Santoro,L,36 67(3) 
96,1999,Toulouse,"Toulouse, France",1999.09.27 - 1999.10.03,Indoor,Hard,Rainer Schuettler,W,76(4) 61
104,1999,Tashkent,"Tashkent, Uzbekistan",1999.09.13 - 1999.09.19,Outdoor,Hard,Peter Wessels,L,64 67(1) 46
104,1999,Tashkent,"Tashkent, Uzbekistan",1999.09.13 - 1999.09.19,Outdoor,Hard,Cedric Pioline,W,64 63
104,1999,Washington,"Washington, DC, U.S.A.",1999.08.16 - 1999.08.22,Outdoor,Hard,Bjorn Phau,L,26 36
106,1999,Segovia,"Segovia, Spain",1999.08.02 - 1999.08.08,Outdoor,Hard,Nicolas Escude,L,63 16 46
106,1999,Segovia,"Segovia, Spain",1999.08.02 - 1999.08.08,Outdoor,Hard,Joaquin Munoz-Hernandez,W,76(5) 64
109,1999,SUI V BEL QF,"Brussels, Belgium",1999.07.12 - 1999.07.18,Outdoor,Clay,Xavier Malisse,L,64 36 57 67(5) 
109,1999,SUI V BEL QF,"Brussels, Belgium",1999.07.12 - 1999.07.18,Outdoor,Clay,Christophe Van Garsse,L,67(4) 63 61 57 16
107,1999,Gstaad,"Gstaad, Switzerland",1999.07.05 - 1999.07.11,Outdoor,Clay,Younes El Aynaoui,L,26 36
103,1999,Wimbledon,"London, England",1999.06.21 - 1999.07.04,Outdoor,Grass,Jiri Novak,L,36 63 64 36 46
104,1999,London / Queen's Club,"London, Great Britain",1999.06.07 - 1999.06.13,Outdoor,Grass,Byron Black,L,36 06
111,1999,Surbiton,"Surbiton, England",1999.05.31 - 1999.06.06,Outdoor,Grass,Sargis Sargsian,L,76 36 67
111,1999,Surbiton,"Surbiton, England",1999.05.31 - 1999.06.06,Outdoor,Grass,Alex O'Brien,W,61 64
111,1999,Surbiton,"Surbiton, England",1999.05.31 - 1999.06.06,Outdoor,Grass,John van Lottum,W,63 36 61
111,1999,Surbiton,"Surbiton, England",1999.05.31 - 1999.06.06,Outdoor,Grass,Maurice Ruah,W,76 62
111,1999,Roland Garros,"Paris, France",1999.05.24 - 1999.06.06,Outdoor,Clay,Patrick Rafter,L,75 36 06 26
123,1999,Ljubljana,"Ljubljana, Slovenia",1999.05.03 - 1999.05.09,Outdoor,Clay,Dinu Pescariu,L,67 26
123,1999,Ljubljana,"Ljubljana, Slovenia",1999.05.03 - 1999.05.09,Outdoor,Clay,Juan Albert Viloca-Puig,W,26 63 64
123,1999,Ljubljana,"Ljubljana, Slovenia",1999.05.03 - 1999.05.09,Outdoor,Clay,Radomir Vasek,W,76 61
123,1999,Ljubljana,"Ljubljana, Slovenia",1999.05.03 - 1999.05.09,Outdoor,Clay,Eduardo Medica,W,63 62
124,1999,Espinho,"Espinho, Portugal",1999.04.26 - 1999.05.02,Outdoor,Clay,Juan Balcells,L,67 36
128,1999,ATP Masters Series Monte Carlo,"Monte Carlo, Monaco",1999.04.19 - 1999.04.25,Outdoor,Clay,Vincent Spadea,L,67(3) 06
123,1999,ITA V SUI 1RD,Switzerland,1999.03.29 - 1999.04.04,Indoor,Carpet,Gianluca Pozzi,L,46 67(4) 
123,1999,ITA V SUI 1RD,Switzerland,1999.03.29 - 1999.04.04,Indoor,Carpet,Davide Sanguinetti,W,64 67(3) 63 64
125,1999,ATP Masters Series Miami,"Miami, FL, U.S.A.",1999.03.15 - 1999.03.28,Outdoor,Hard,Kenneth Carlsen,L,57 67(4) 
129,1999,Grenoble,"Grenoble, France",1999.03.01 - 1999.03.07,Indoor,Hard,Julien Boutter,L,64 26 36
129,1999,Grenoble,"Grenoble, France",1999.03.01 - 1999.03.07,Indoor,Hard,Rodolphe Gilbert,W,62 60
178,1999,Rotterdam,"Rotterdam, Netherlands",1999.02.15 - 1999.02.21,Indoor,Carpet,Yevgeny Kafelnikov,L,16 75 46
178,1999,Rotterdam,"Rotterdam, Netherlands",1999.02.15 - 1999.02.21,Indoor,Carpet,Bohdan Ulihrach,W,64 75
178,1999,Rotterdam,"Rotterdam, Netherlands",1999.02.15 - 1999.02.21,Indoor,Carpet,Guillaume Raoux,W,67(4) 75 76(3) 
243,1999,Marseille,"Marseille, France",1999.02.01 - 1999.02.07,Indoor,Hard,Arnaud Clement,L,36 36
243,1999,Marseille,"Marseille, France",1999.02.01 - 1999.02.07,Indoor,Hard,Jerome Golmard,W,67(6) 76(5) 76(5) 
243,1999,Marseille,"Marseille, France",1999.02.01 - 1999.02.07,Indoor,Hard,Carlos Moya,W,76(1) 36 63
298,1999,Heilbronn,"Heilbronn, Germany",1999.01.25 - 1999.01.31,Indoor,Carpet,Laurence Tieleman,L,57 16
298,1999,Heilbronn,"Heilbronn, Germany",1999.01.25 - 1999.01.31,Indoor,Carpet,Justin Gimelstob,W,67 76 75
298,1999,Heilbronn,"Heilbronn, Germany",1999.01.25 - 1999.01.31,Indoor,Carpet,John van Lottum,W,62 64
298,1999,Heilbronn,"Heilbronn, Germany",1999.01.25 - 1999.01.31,Indoor,Carpet,Cristiano Caratti,W,75 64
29,2000,Stockholm,"Stockholm, Sweden",2000.11.20 - 2000.11.26,Indoor,Hard,Andreas Vinciguerra,L,57 67(3) 
29,2000,Stockholm,"Stockholm, Sweden",2000.11.20 - 2000.11.26,Indoor,Hard,Mikhail Youzhny,W,57 64 63
24,2000,ATP World Tour Masters 1000 Paris,"Paris, France",2000.11.13 - 2000.11.19,Indoor,Hard,Dominik Hrbaty,L,64 26 26
24,2000,Lyon,"Lyon, France",2000.11.06 - 2000.11.12,Indoor,Carpet,Karol Kucera,L,63 26 16
24,2000,Lyon,"Lyon, France",2000.11.06 - 2000.11.12,Indoor,Carpet,Nicolas Escude,W,63 76(3) 
25,2000,ATP Masters Series Stuttgart,"Stuttgart, Germany",2000.10.30 - 2000.11.05,Indoor,Hard,Yevgeny Kafelnikov,L,57 36
25,2000,ATP Masters Series Stuttgart,"Stuttgart, Germany",2000.10.30 - 2000.11.05,Indoor,Hard,Jan-Michael Gambill,W,76(3) 10 (RET)
34,2000,Basel,"Basel, Switzerland",2000.10.23 - 2000.10.29,Indoor,Carpet,Thomas Enqvist,L,26 64 67(4) 61 16
34,2000,Basel,"Basel, Switzerland",2000.10.23 - 2000.10.29,Indoor,Carpet,Lleyton Hewitt,W,64 57 76(6) 
34,2000,Basel,"Basel, Switzerland",2000.10.23 - 2000.10.29,Indoor,Carpet,Nicolas Thomann,W,64 64
34,2000,Basel,"Basel, Switzerland",2000.10.23 - 2000.10.29,Indoor,Carpet,Andrei Pavel,W,76(4) 64
34,2000,Basel,"Basel, Switzerland",2000.10.23 - 2000.10.29,Indoor,Carpet,Tommy Haas,W,63 63
31,2000,Vienna,"Vienna, Austria",2000.10.09 - 2000.10.15,Indoor,Hard,Tim Henman,L,62 67(4) 36
31,2000,Vienna,"Vienna, Austria",2000.10.09 - 2000.10.15,Indoor,Hard,Richard Krajicek,W,64 63
31,2000,Vienna,"Vienna, Austria",2000.10.09 - 2000.10.15,Indoor,Hard,Max Mirnyi,W,63 63
31,2000,Vienna,"Vienna, Austria",2000.10.09 - 2000.10.15,Indoor,Hard,Magnus Norman,W,46 76(4) 64
36,2000,Sydney Olympics,"Sydney, Australia",2000.09.18 - 2000.10.01,Outdoor,Hard,Arnaud Di Pasquale,L,67(5) 76(7) 36
36,2000,Sydney Olympics,"Sydney, Australia",2000.09.18 - 2000.10.01,Outdoor,Hard,Tommy Haas,L,36 26
36,2000,Sydney Olympics,"Sydney, Australia",2000.09.18 - 2000.10.01,Outdoor,Hard,Karim Alami,W,76(2) 61
36,2000,Sydney Olympics,"Sydney, Australia",2000.09.18 - 2000.10.01,Outdoor,Hard,Mikael Tillstrom,W,61 62
36,2000,Sydney Olympics,"Sydney, Australia",2000.09.18 - 2000.10.01,Outdoor,Hard,Karol Kucera,W,64 76(5) 
36,2000,Sydney Olympics,"Sydney, Australia",2000.09.18 - 2000.10.01,Outdoor,Hard,David Prinosil,W,62 62
40,2000,US Open,"New York, NY, U.S.A.",2000.08.28 - 2000.09.10,Outdoor,Hard,Juan Carlos Ferrero,L,57 67(6) 61 67(6) 
40,2000,US Open,"New York, NY, U.S.A.",2000.08.28 - 2000.09.10,Outdoor,Hard,Daniel Nestor,W,61 76(5) 61
40,2000,US Open,"New York, NY, U.S.A.",2000.08.28 - 2000.09.10,Outdoor,Hard,Peter Wessels,W,46 46 63 75 34 (RET)
40,2000,Indianapolis,"Indianapolis, IN, U.S.A.",2000.08.14 - 2000.08.20,Outdoor,Hard,James Sekulov,L,46 57
39,2000,ATP Masters Series Cincinnati,"Cincinnati, OH, U.S.A.",2000.08.07 - 2000.08.13,Outdoor,Hard,Francisco Clavet,L,67(3) 67(4) 
38,2000,ATP Masters Series Canada,"Toronto, Canada",2000.07.31 - 2000.08.06,Outdoor,Hard,Lleyton Hewitt,L,63 36 26
39,2000,SUI v BLR WGPO,"St.Gallen, Switz.",2000.07.17 - 2000.07.23,Indoor,Carpet,Vladimir Voltchkov,W,46 75 76(1) 57 62
39,2000,Gstaad,"Gstaad, Switzerland",2000.07.10 - 2000.07.16,Outdoor,Clay,Alex Corretja,L,46 64 46
35,2000,Wimbledon,"London, England",2000.06.26 - 2000.07.09,Outdoor,Grass,Yevgeny Kafelnikov,L,57 57 67(6) 
35,2000,Nottingham,"Nottingham, England",2000.06.19 - 2000.06.25,Outdoor,Grass,Richard Fromberg,L,57 16
38,2000,Halle,"Halle, Germany",2000.06.12 - 2000.06.18,Outdoor,Grass,Michael Chang,L,57 26
38,2000,Halle,"Halle, Germany",2000.06.12 - 2000.06.18,Outdoor,Grass,Magnus Larsson,W,62 63
38,2000,Halle,"Halle, Germany",2000.06.12 - 2000.06.18,Outdoor,Grass,Arnaud Clement,W,64 62
54,2000,Roland Garros,"Paris, France",2000.05.29 - 2000.06.11,Outdoor,Clay,Alex Corretja,L,57 67(7) 26
54,2000,Roland Garros,"Paris, France",2000.05.29 - 2000.06.11,Outdoor,Clay,Michel Kratochvil,W,76(5) 64 26 67(4) 86
54,2000,Roland Garros,"Paris, France",2000.05.29 - 2000.06.11,Outdoor,Clay,Jan-Michael Gambill,W,76(5) 63 63
54,2000,Roland Garros,"Paris, France",2000.05.29 - 2000.06.11,Outdoor,Clay,Wayne Arthurs,W,76(4) 63 16 63
54,2000,St. Poelten,"St. Poelten, Austria",2000.05.22 - 2000.05.28,Outdoor,Clay,Markus Hantschk,L,26 16
50,2000,ATP Masters Series Hamburg,"Hamburg, Germany",2000.05.15 - 2000.05.21,Outdoor,Clay,Andrei Pavel,L,46 36
51,2000,ATP Masters Series Rome,"Rome, Italy",2000.05.08 - 2000.05.14,Outdoor,Clay,Andrei Medvedev,L,63 36 57
51,2000,Barcelona,"Barcelona, Spain",2000.04.24 - 2000.04.30,Outdoor,Clay,Sergi Bruguera,L,16 16
49,2000,ATP Masters Series Monte Carlo,"Monte Carlo, Monaco",2000.04.17 - 2000.04.23,Outdoor,Clay,Jiri Novak,L,16 62 57
53,2000,ATP Masters Series Miami,"Miami, FL, U.S.A.",2000.03.20 - 2000.04.02,Outdoor,Hard,Mariano Zabaleta,L,46 67(7) 
53,2000,ATP Masters Series Miami,"Miami, FL, U.S.A.",2000.03.20 - 2000.04.02,Outdoor,Hard,Justin Gimelstob,W,75 63
58,2000,Copenhagen,"Copenhagen, Denmark",2000.02.28 - 2000.03.05,Indoor,Hard,Magnus Larsson,L,36 67(6) 
58,2000,Copenhagen,"Copenhagen, Denmark",2000.02.28 - 2000.03.05,Indoor,Hard,Gianluca Pozzi,W,46 61 63
58,2000,Copenhagen,"Copenhagen, Denmark",2000.02.28 - 2000.03.05,Indoor,Hard,Fredrik Jonsson,W,64 64
58,2000,Copenhagen,"Copenhagen, Denmark",2000.02.28 - 2000.03.05,Indoor,Hard,Filip Dewulf,W,64 46 63
66,2000,London,"London, England",2000.02.21 - 2000.02.27,Indoor,Hard,Marc Rosset,L,63 46 46
66,2000,London,"London, England",2000.02.21 - 2000.02.27,Indoor,Hard,Goran Ivanisevic,W,75 63
66,2000,London,"London, England",2000.02.21 - 2000.02.27,Indoor,Hard,Nicolas Kiefer,W,62 63
